id,word,meaningVi,topic,cefr,example,pooTip,quiz
102,day,nghĩa cơ bản của 'day',time,A1,I can use 'day' in a simple sentence.,"Học từ 'day' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'day' thuộc chủ đề nào?"", 'answer': 'time'}"
103,week,nghĩa cơ bản của 'week',time,A1,I can use 'week' in a simple sentence.,"Học từ 'week' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'week' thuộc chủ đề nào?"", 'answer': 'time'}"
104,month,nghĩa cơ bản của 'month',time,A1,I can use 'month' in a simple sentence.,"Học từ 'month' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'month' thuộc chủ đề nào?"", 'answer': 'time'}"
105,year,nghĩa cơ bản của 'year',time,A1,I can use 'year' in a simple sentence.,"Học từ 'year' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'year' thuộc chủ đề nào?"", 'answer': 'time'}"
106,hour,nghĩa cơ bản của 'hour',time,A1,I can use 'hour' in a simple sentence.,"Học từ 'hour' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'hour' thuộc chủ đề nào?"", 'answer': 'time'}"
107,minute,nghĩa cơ bản của 'minute',time,A1,I can use 'minute' in a simple sentence.,"Học từ 'minute' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'minute' thuộc chủ đề nào?"", 'answer': 'time'}"
108,second,nghĩa cơ bản của 'second',time,A1,I can use 'second' in a simple sentence.,"Học từ 'second' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'second' thuộc chủ đề nào?"", 'answer': 'time'}"
109,early,nghĩa cơ bản của 'early',time,A1,I can use 'early' in a simple sentence.,"Học từ 'early' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'early' thuộc chủ đề nào?"", 'answer': 'time'}"
110,late,nghĩa cơ bản của 'late',time,A1,I can use 'late' in a simple sentence.,"Học từ 'late' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'late' thuộc chủ đề nào?"", 'answer': 'time'}"
111,now,nghĩa cơ bản của 'now',time,A1,I can use 'now' in a simple sentence.,"Học từ 'now' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'now' thuộc chủ đề nào?"", 'answer': 'time'}"
112,soon,nghĩa cơ bản của 'soon',time,A1,I can use 'soon' in a simple sentence.,"Học từ 'soon' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'soon' thuộc chủ đề nào?"", 'answer': 'time'}"
113,always,nghĩa cơ bản của 'always',time,A1,I can use 'always' in a simple sentence.,"Học từ 'always' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'always' thuộc chủ đề nào?"", 'answer': 'time'}"
114,often,nghĩa cơ bản của 'often',time,A1,I can use 'often' in a simple sentence.,"Học từ 'often' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'often' thuộc chủ đề nào?"", 'answer': 'time'}"
115,sometimes,nghĩa cơ bản của 'sometimes',time,A1,I can use 'sometimes' in a simple sentence.,"Học từ 'sometimes' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'sometimes' thuộc chủ đề nào?"", 'answer': 'time'}"
116,never,nghĩa cơ bản của 'never',time,A1,I can use 'never' in a simple sentence.,"Học từ 'never' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'never' thuộc chủ đề nào?"", 'answer': 'time'}"
117,before,nghĩa cơ bản của 'before',time,A1,I can use 'before' in a simple sentence.,"Học từ 'before' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'before' thuộc chủ đề nào?"", 'answer': 'time'}"
118,after,nghĩa cơ bản của 'after',time,A1,I can use 'after' in a simple sentence.,"Học từ 'after' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'after' thuộc chủ đề nào?"", 'answer': 'time'}"
119,during,nghĩa cơ bản của 'during',time,A1,I can use 'during' in a simple sentence.,"Học từ 'during' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'during' thuộc chủ đề nào?"", 'answer': 'time'}"
120,until,nghĩa cơ bản của 'until',time,A1,I can use 'until' in a simple sentence.,"Học từ 'until' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'until' thuộc chủ đề nào?"", 'answer': 'time'}"
121,place,nghĩa cơ bản của 'place',places,A1,I can use 'place' in a simple sentence.,"Học từ 'place' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'place' thuộc chủ đề nào?"", 'answer': 'places'}"
122,city,nghĩa cơ bản của 'city',places,A1,I can use 'city' in a simple sentence.,"Học từ 'city' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'city' thuộc chủ đề nào?"", 'answer': 'places'}"
123,village,nghĩa cơ bản của 'village',places,A1,I can use 'village' in a simple sentence.,"Học từ 'village' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'village' thuộc chủ đề nào?"", 'answer': 'places'}"
124,street,nghĩa cơ bản của 'street',places,A1,I can use 'street' in a simple sentence.,"Học từ 'street' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'street' thuộc chủ đề nào?"", 'answer': 'places'}"
125,road,nghĩa cơ bản của 'road',places,A1,I can use 'road' in a simple sentence.,"Học từ 'road' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'road' thuộc chủ đề nào?"", 'answer': 'places'}"
126,house,nghĩa cơ bản của 'house',places,A1,I can use 'house' in a simple sentence.,"Học từ 'house' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'house' thuộc chủ đề nào?"", 'answer': 'places'}"
127,room,nghĩa cơ bản của 'room',places,A1,I can use 'room' in a simple sentence.,"Học từ 'room' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'room' thuộc chủ đề nào?"", 'answer': 'places'}"
128,kitchen,nghĩa cơ bản của 'kitchen',places,A1,I can use 'kitchen' in a simple sentence.,"Học từ 'kitchen' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'kitchen' thuộc chủ đề nào?"", 'answer': 'places'}"
129,bathroom,nghĩa cơ bản của 'bathroom',places,A1,I can use 'bathroom' in a simple sentence.,"Học từ 'bathroom' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'bathroom' thuộc chủ đề nào?"", 'answer': 'places'}"
130,market,nghĩa cơ bản của 'market',places,A1,I can use 'market' in a simple sentence.,"Học từ 'market' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'market' thuộc chủ đề nào?"", 'answer': 'places'}"
131,shop,nghĩa cơ bản của 'shop',places,A1,I can use 'shop' in a simple sentence.,"Học từ 'shop' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'shop' thuộc chủ đề nào?"", 'answer': 'places'}"
132,office,nghĩa cơ bản của 'office',places,A1,I can use 'office' in a simple sentence.,"Học từ 'office' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'office' thuộc chủ đề nào?"", 'answer': 'places'}"
133,park,nghĩa cơ bản của 'park',places,A1,I can use 'park' in a simple sentence.,"Học từ 'park' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'park' thuộc chủ đề nào?"", 'answer': 'places'}"
134,hospital,nghĩa cơ bản của 'hospital',places,A1,I can use 'hospital' in a simple sentence.,"Học từ 'hospital' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'hospital' thuộc chủ đề nào?"", 'answer': 'places'}"
135,bank,nghĩa cơ bản của 'bank',places,A1,I can use 'bank' in a simple sentence.,"Học từ 'bank' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'bank' thuộc chủ đề nào?"", 'answer': 'places'}"
136,airport,nghĩa cơ bản của 'airport',places,A1,I can use 'airport' in a simple sentence.,"Học từ 'airport' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'airport' thuộc chủ đề nào?"", 'answer': 'places'}"
137,station,nghĩa cơ bản của 'station',places,A1,I can use 'station' in a simple sentence.,"Học từ 'station' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'station' thuộc chủ đề nào?"", 'answer': 'places'}"
138,beach,nghĩa cơ bản của 'beach',places,A1,I can use 'beach' in a simple sentence.,"Học từ 'beach' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'beach' thuộc chủ đề nào?"", 'answer': 'places'}"
139,restaurant,nghĩa cơ bản của 'restaurant',places,A1,I can use 'restaurant' in a simple sentence.,"Học từ 'restaurant' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'restaurant' thuộc chủ đề nào?"", 'answer': 'places'}"
140,hotel,nghĩa cơ bản của 'hotel',places,A1,I can use 'hotel' in a simple sentence.,"Học từ 'hotel' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'hotel' thuộc chủ đề nào?"", 'answer': 'places'}"
141,travel,nghĩa cơ bản của 'travel',travel,A1,I can use 'travel' in a simple sentence.,"Học từ 'travel' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'travel' thuộc chủ đề nào?"", 'answer': 'travel'}"
142,trip,nghĩa cơ bản của 'trip',travel,A1,I can use 'trip' in a simple sentence.,"Học từ 'trip' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'trip' thuộc chủ đề nào?"", 'answer': 'travel'}"
143,ticket,nghĩa cơ bản của 'ticket',travel,A1,I can use 'ticket' in a simple sentence.,"Học từ 'ticket' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'ticket' thuộc chủ đề nào?"", 'answer': 'travel'}"
144,passport,nghĩa cơ bản của 'passport',travel,A1,I can use 'passport' in a simple sentence.,"Học từ 'passport' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'passport' thuộc chủ đề nào?"", 'answer': 'travel'}"
145,bag,nghĩa cơ bản của 'bag',travel,A1,I can use 'bag' in a simple sentence.,"Học từ 'bag' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'bag' thuộc chủ đề nào?"", 'answer': 'travel'}"
146,map,nghĩa cơ bản của 'map',travel,A1,I can use 'map' in a simple sentence.,"Học từ 'map' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'map' thuộc chủ đề nào?"", 'answer': 'travel'}"
147,bus,nghĩa cơ bản của 'bus',travel,A1,I can use 'bus' in a simple sentence.,"Học từ 'bus' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'bus' thuộc chủ đề nào?"", 'answer': 'travel'}"
148,train,nghĩa cơ bản của 'train',travel,A1,I can use 'train' in a simple sentence.,"Học từ 'train' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'train' thuộc chủ đề nào?"", 'answer': 'travel'}"
149,taxi,nghĩa cơ bản của 'taxi',travel,A1,I can use 'taxi' in a simple sentence.,"Học từ 'taxi' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'taxi' thuộc chủ đề nào?"", 'answer': 'travel'}"
150,plane,nghĩa cơ bản của 'plane',travel,A1,I can use 'plane' in a simple sentence.,"Học từ 'plane' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'plane' thuộc chủ đề nào?"", 'answer': 'travel'}"
151,bike,nghĩa cơ bản của 'bike',travel,A1,I can use 'bike' in a simple sentence.,"Học từ 'bike' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'bike' thuộc chủ đề nào?"", 'answer': 'travel'}"
152,car,nghĩa cơ bản của 'car',travel,A1,I can use 'car' in a simple sentence.,"Học từ 'car' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'car' thuộc chủ đề nào?"", 'answer': 'travel'}"
153,left,nghĩa cơ bản của 'left',travel,A1,I can use 'left' in a simple sentence.,"Học từ 'left' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'left' thuộc chủ đề nào?"", 'answer': 'travel'}"
154,right,nghĩa cơ bản của 'right',travel,A1,I can use 'right' in a simple sentence.,"Học từ 'right' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'right' thuộc chủ đề nào?"", 'answer': 'travel'}"
155,near,nghĩa cơ bản của 'near',travel,A1,I can use 'near' in a simple sentence.,"Học từ 'near' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'near' thuộc chủ đề nào?"", 'answer': 'travel'}"
156,far,nghĩa cơ bản của 'far',travel,A1,I can use 'far' in a simple sentence.,"Học từ 'far' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'far' thuộc chủ đề nào?"", 'answer': 'travel'}"
157,arrive,nghĩa cơ bản của 'arrive',travel,A1,I can use 'arrive' in a simple sentence.,"Học từ 'arrive' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'arrive' thuộc chủ đề nào?"", 'answer': 'travel'}"
158,leave,nghĩa cơ bản của 'leave',travel,A1,I can use 'leave' in a simple sentence.,"Học từ 'leave' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'leave' thuộc chủ đề nào?"", 'answer': 'travel'}"
159,visit,nghĩa cơ bản của 'visit',travel,A1,I can use 'visit' in a simple sentence.,"Học từ 'visit' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'visit' thuộc chủ đề nào?"", 'answer': 'travel'}"
160,guide,nghĩa cơ bản của 'guide',travel,A1,I can use 'guide' in a simple sentence.,"Học từ 'guide' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'guide' thuộc chủ đề nào?"", 'answer': 'travel'}"
161,job,nghĩa cơ bản của 'job',work,A1,I can use 'job' in a simple sentence.,"Học từ 'job' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'job' thuộc chủ đề nào?"", 'answer': 'work'}"
162,work,nghĩa cơ bản của 'work',work,A1,I can use 'work' in a simple sentence.,"Học từ 'work' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'work' thuộc chủ đề nào?"", 'answer': 'work'}"
163,office,nghĩa cơ bản của 'office',work,A1,I can use 'office' in a simple sentence.,"Học từ 'office' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'office' thuộc chủ đề nào?"", 'answer': 'work'}"
164,boss,nghĩa cơ bản của 'boss',work,A1,I can use 'boss' in a simple sentence.,"Học từ 'boss' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'boss' thuộc chủ đề nào?"", 'answer': 'work'}"
165,team,nghĩa cơ bản của 'team',work,A1,I can use 'team' in a simple sentence.,"Học từ 'team' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'team' thuộc chủ đề nào?"", 'answer': 'work'}"
166,meeting,nghĩa cơ bản của 'meeting',work,A1,I can use 'meeting' in a simple sentence.,"Học từ 'meeting' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'meeting' thuộc chủ đề nào?"", 'answer': 'work'}"
167,email,nghĩa cơ bản của 'email',work,A1,I can use 'email' in a simple sentence.,"Học từ 'email' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'email' thuộc chủ đề nào?"", 'answer': 'work'}"
168,call,nghĩa cơ bản của 'call',work,A1,I can use 'call' in a simple sentence.,"Học từ 'call' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'call' thuộc chủ đề nào?"", 'answer': 'work'}"
169,project,nghĩa cơ bản của 'project',work,A1,I can use 'project' in a simple sentence.,"Học từ 'project' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'project' thuộc chủ đề nào?"", 'answer': 'work'}"
170,task,nghĩa cơ bản của 'task',work,A1,I can use 'task' in a simple sentence.,"Học từ 'task' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'task' thuộc chủ đề nào?"", 'answer': 'work'}"
171,salary,nghĩa cơ bản của 'salary',work,A1,I can use 'salary' in a simple sentence.,"Học từ 'salary' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'salary' thuộc chủ đề nào?"", 'answer': 'work'}"
172,customer,nghĩa cơ bản của 'customer',work,A1,I can use 'customer' in a simple sentence.,"Học từ 'customer' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'customer' thuộc chủ đề nào?"", 'answer': 'work'}"
173,company,nghĩa cơ bản của 'company',work,A1,I can use 'company' in a simple sentence.,"Học từ 'company' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'company' thuộc chủ đề nào?"", 'answer': 'work'}"
174,manager,nghĩa cơ bản của 'manager',work,A1,I can use 'manager' in a simple sentence.,"Học từ 'manager' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'manager' thuộc chủ đề nào?"", 'answer': 'work'}"
175,plan,nghĩa cơ bản của 'plan',work,A1,I can use 'plan' in a simple sentence.,"Học từ 'plan' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'plan' thuộc chủ đề nào?"", 'answer': 'work'}"
176,report,nghĩa cơ bản của 'report',work,A1,I can use 'report' in a simple sentence.,"Học từ 'report' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'report' thuộc chủ đề nào?"", 'answer': 'work'}"
177,busy,nghĩa cơ bản của 'busy',work,A1,I can use 'busy' in a simple sentence.,"Học từ 'busy' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'busy' thuộc chủ đề nào?"", 'answer': 'work'}"
178,free,nghĩa cơ bản của 'free',work,A1,I can use 'free' in a simple sentence.,"Học từ 'free' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'free' thuộc chủ đề nào?"", 'answer': 'work'}"
179,finish,nghĩa cơ bản của 'finish',work,A1,I can use 'finish' in a simple sentence.,"Học từ 'finish' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'finish' thuộc chủ đề nào?"", 'answer': 'work'}"
180,help,nghĩa cơ bản của 'help',work,A1,I can use 'help' in a simple sentence.,"Học từ 'help' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'help' thuộc chủ đề nào?"", 'answer': 'work'}"
181,health,nghĩa cơ bản của 'health',health,A1,I can use 'health' in a simple sentence.,"Học từ 'health' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'health' thuộc chủ đề nào?"", 'answer': 'health'}"
182,doctor,nghĩa cơ bản của 'doctor',health,A1,I can use 'doctor' in a simple sentence.,"Học từ 'doctor' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'doctor' thuộc chủ đề nào?"", 'answer': 'health'}"
183,nurse,nghĩa cơ bản của 'nurse',health,A1,I can use 'nurse' in a simple sentence.,"Học từ 'nurse' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'nurse' thuộc chủ đề nào?"", 'answer': 'health'}"
184,medicine,nghĩa cơ bản của 'medicine',health,A1,I can use 'medicine' in a simple sentence.,"Học từ 'medicine' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'medicine' thuộc chủ đề nào?"", 'answer': 'health'}"
185,pain,nghĩa cơ bản của 'pain',health,A1,I can use 'pain' in a simple sentence.,"Học từ 'pain' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'pain' thuộc chủ đề nào?"", 'answer': 'health'}"
186,headache,nghĩa cơ bản của 'headache',health,A1,I can use 'headache' in a simple sentence.,"Học từ 'headache' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'headache' thuộc chủ đề nào?"", 'answer': 'health'}"
187,fever,nghĩa cơ bản của 'fever',health,A1,I can use 'fever' in a simple sentence.,"Học từ 'fever' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'fever' thuộc chủ đề nào?"", 'answer': 'health'}"
188,cold,nghĩa cơ bản của 'cold',health,A1,I can use 'cold' in a simple sentence.,"Học từ 'cold' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'cold' thuộc chủ đề nào?"", 'answer': 'health'}"
189,cough,nghĩa cơ bản của 'cough',health,A1,I can use 'cough' in a simple sentence.,"Học từ 'cough' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'cough' thuộc chủ đề nào?"", 'answer': 'health'}"
190,tired,nghĩa cơ bản của 'tired',health,A1,I can use 'tired' in a simple sentence.,"Học từ 'tired' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'tired' thuộc chủ đề nào?"", 'answer': 'health'}"
191,sick,nghĩa cơ bản của 'sick',health,A1,I can use 'sick' in a simple sentence.,"Học từ 'sick' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'sick' thuộc chủ đề nào?"", 'answer': 'health'}"
192,healthy,nghĩa cơ bản của 'healthy',health,A1,I can use 'healthy' in a simple sentence.,"Học từ 'healthy' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'healthy' thuộc chủ đề nào?"", 'answer': 'health'}"
193,exercise,nghĩa cơ bản của 'exercise',health,A1,I can use 'exercise' in a simple sentence.,"Học từ 'exercise' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'exercise' thuộc chủ đề nào?"", 'answer': 'health'}"
194,body,nghĩa cơ bản của 'body',health,A1,I can use 'body' in a simple sentence.,"Học từ 'body' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'body' thuộc chủ đề nào?"", 'answer': 'health'}"
195,hand,nghĩa cơ bản của 'hand',health,A1,I can use 'hand' in a simple sentence.,"Học từ 'hand' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'hand' thuộc chủ đề nào?"", 'answer': 'health'}"
196,foot,nghĩa cơ bản của 'foot',health,A1,I can use 'foot' in a simple sentence.,"Học từ 'foot' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'foot' thuộc chủ đề nào?"", 'answer': 'health'}"
197,eye,nghĩa cơ bản của 'eye',health,A1,I can use 'eye' in a simple sentence.,"Học từ 'eye' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'eye' thuộc chủ đề nào?"", 'answer': 'health'}"
198,ear,nghĩa cơ bản của 'ear',health,A1,I can use 'ear' in a simple sentence.,"Học từ 'ear' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'ear' thuộc chủ đề nào?"", 'answer': 'health'}"
199,mouth,nghĩa cơ bản của 'mouth',health,A1,I can use 'mouth' in a simple sentence.,"Học từ 'mouth' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'mouth' thuộc chủ đề nào?"", 'answer': 'health'}"
200,heart,nghĩa cơ bản của 'heart',health,A1,I can use 'heart' in a simple sentence.,"Học từ 'heart' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'heart' thuộc chủ đề nào?"", 'answer': 'health'}"
201,red,nghĩa cơ bản của 'red',colors_numbers,A1,I can use 'red' in a simple sentence.,"Học từ 'red' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'red' thuộc chủ đề nào?"", 'answer': 'colors_numbers'}"
202,blue,nghĩa cơ bản của 'blue',colors_numbers,A1,I can use 'blue' in a simple sentence.,"Học từ 'blue' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'blue' thuộc chủ đề nào?"", 'answer': 'colors_numbers'}"
203,green,nghĩa cơ bản của 'green',colors_numbers,A1,I can use 'green' in a simple sentence.,"Học từ 'green' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'green' thuộc chủ đề nào?"", 'answer': 'colors_numbers'}"
